GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hive-sampling-mock,com.example.hivesampling.controller,AuthController,44,0,4,0,10,0,4,0,2,0
hive-sampling-mock,com.example.hivesampling.controller,SampleTaskController,77,0,2,0,19,0,9,0,8,0
hive-sampling-mock,com.example.hivesampling.repository,InMemoryTaskRepository,47,0,4,0,9,0,8,0,6,0
hive-sampling-mock,com.example.hivesampling.model,ExecutorResult,177,0,0,0,61,0,8,0,8,0
hive-sampling-mock,com.example.hivesampling.model,ParentTaskStatus,39,0,0,0,7,0,1,0,1,0
hive-sampling-mock,com.example.hivesampling.model,ShardTaskStatus,33,0,0,0,6,0,1,0,1,0
hive-sampling-mock,com.example.hivesampling.model,TaskContext,187,0,14,0,57,0,15,0,8,0
hive-sampling-mock,com.example.hivesampling.model,ExecutorStatus,27,0,0,0,5,0,1,0,1,0
hive-sampling-mock,com.example.hivesampling.model,TableMetadata,13,0,0,0,3,0,1,0,1,0
hive-sampling-mock,com.example.hivesampling.model,ShardTask,60,0,8,0,17,0,9,0,5,0
hive-sampling-mock,com.example.hivesampling.model,LogEntry,0,27,0,0,0,9,0,3,0,3
hive-sampling-mock,com.example.hivesampling.model,PipelineState,51,0,2,0,13,0,5,0,4,0
hive-sampling-mock,com.example.hivesampling.pipeline,PipelineRunner,121,0,2,0,30,0,3,0,2,0
hive-sampling-mock,com.example.hivesampling.pipeline,SampleTaskExecutor,4,0,0,0,1,0,1,0,1,0
hive-sampling-mock,com.example.hivesampling.executor,FinalQueryBuilderExecutor,72,0,2,0,21,0,4,0,3,0
hive-sampling-mock,com.example.hivesampling.executor,PartitionSelectorExecutor,100,0,4,0,16,0,5,0,3,0
hive-sampling-mock,com.example.hivesampling.executor,ResultCollectorExecutor,91,0,4,0,24,0,5,0,3,0
hive-sampling-mock,com.example.hivesampling.executor,QueryDispatcherExecutor,166,0,4,0,40,0,7,0,5,0
hive-sampling-mock,com.example.hivesampling.executor,FinalizeTaskExecutor,98,0,2,0,23,0,4,0,3,0
hive-sampling-mock,com.example.hivesampling.executor,SamplingExecutor,127,0,4,0,31,0,5,0,3,0
hive-sampling-mock,com.example.hivesampling.executor,RetrieveMetaInfosExecutor,58,0,0,0,17,0,3,0,3,0
hive-sampling-mock,com.example.hivesampling.service,SqlBuilderService,40,0,2,0,7,0,5,0,4,0
hive-sampling-mock,com.example.hivesampling.service,TaskLogService,41,0,0,0,8,0,5,0,5,0
hive-sampling-mock,com.example.hivesampling.service,ShardExecutionService,197,0,10,0,42,0,13,0,8,0
hive-sampling-mock,com.example.hivesampling.service,SampleTaskService,111,0,0,0,28,0,8,0,8,0
hive-sampling-mock,com.example.hivesampling,HiveSamplingMockApplication,8,0,0,0,3,0,2,0,2,0
hive-sampling-mock,com.example.hivesampling.monitor,SampleTaskMonitorService,211,0,26,0,44,0,19,0,6,0
hive-sampling-mock,com.example.hivesampling.config,WebConfig,40,0,0,0,11,0,2,0,2,0
hive-sampling-mock,com.example.hivesampling.config,AppProperties.RateLimit,9,0,0,0,3,0,1,0,1,0
hive-sampling-mock,com.example.hivesampling.config,AppProperties.Auth,11,0,0,0,3,0,1,0,1,0
hive-sampling-mock,com.example.hivesampling.config,AppProperties,13,0,0,0,3,0,1,0,1,0
hive-sampling-mock,com.example.hivesampling.config,AppProperties.Jwt,6,0,0,0,2,0,1,0,1,0
hive-sampling-mock,com.example.hivesampling.dto,LoginResponse,9,0,0,0,4,0,1,0,1,0
hive-sampling-mock,com.example.hivesampling.dto,LoginRequest,3,0,0,0,1,0,1,0,1,0
hive-sampling-mock,com.example.hivesampling.dto,CreateSampleTaskRequest,11,0,0,0,3,0,1,0,1,0
hive-sampling-mock,com.example.hivesampling.util,JwtUtil,81,0,4,0,25,0,6,0,4,0
hive-sampling-mock,com.example.hivesampling.filter,JwtAuthFilter,90,0,12,0,28,0,8,0,2,0
hive-sampling-mock,com.example.hivesampling.filter,RateLimitFilter,106,0,8,0,26,0,8,0,4,0
